"7","13","5","5","6","13","2","3"
"5","13","6","4","6","13","3","13"
"9","10","6","6","8","10","2","3"
"7","7","6","6","8","7","2","3"
"8","7","6","6","8","7","2","0"
"7","7","6","7","7","7","1","1"
"6","10","7","8","8","9","4","4"
"6","7","7","7","9","8","4","5"
"5","5","5","12","10","7","2","3"
"7","8","4","4","7","6","2","3"
"8","7","5","4","6","10","1","0"
"6","10","5","2","6","8","1"," 2"
"7","10","5","5","8","7","1","20"
"7","10","6","6","6","8","3","3"
"6","6","7","7","8","8","3","2"
"7","7","5","6","3","3","4","6"
"7","6","7","6","3","4","6","5"
"6","6","5","5","4","3","4","5"
"8","8","7","6","5","7","5","5"
"6","8","7","5","5","6","2","2"
"7","7","7","7","6","6","3","2"
"7","7","7","7","5","6","5","5"
"7","7","8","7","5","6","4","5"
"8","7","7","6","6","5","4","5"
"7","8","6","5","4","6","2","4"
"9","7","7","6","8","6","4","3"
"8","8","7","6","7","6","4","4"
"7","6","6","5","3","2","5","4"
"7","6","7","5","5","5","4","3"
"0","8","7","6","6","7","2","4"
"10","7","6","6","9","9","7","10"
"10","4","4","4","8","8","3","10"
"10","7","4","4","9","9","3","9"
"7","7","6","5","10","10","10","8"
"6","10","6","10","8","8","13","4"
"8","10","7","10","9","8","11","4"
"5","7","8","7","8","9","9","8"
"5","6","7","7","9","9","9","7"
"6","7","11","6","8","11","7","10"
"6","12","10","4","8","11","8","3"
"7","12","8","6","9","11","9","1"
"11","8","7","10","11","10","6","9"
"9","5","6","7","10","9","7","5"
"10","5","6","4","9","9","6","11"
"0","5","11","6","9","11","5","9"
